section_id,section_code,from_station,to_station,length_km,section_status,source
1,CSMT_MSD,CSMT,MSD,0.8960153566783163,OPEN,stations.json + notebook corridor order
2,MSD_SNRD,MSD,SNRD,1.110581263318117,OPEN,stations.json + notebook corridor order
3,SNRD_BY,SNRD,BY,1.7663622536714676,OPEN,stations.json + notebook corridor order
4,BY_CHP,BY,CHP,564.1553702031016,OPEN,stations.json + notebook corridor order
5,CHP_CRD,CHP,CRD,562.294021460963,OPEN,stations.json + notebook corridor order
6,CRD_PR,CRD,PR,1.7806676580068435,OPEN,stations.json + notebook corridor order
7,PR_DR,PR,DR,1.071677011049773,OPEN,stations.json + notebook corridor order
8,DR_MTN,DR,MTN,1.3415989776417219,OPEN,stations.json + notebook corridor order
9,MTN_SIN,MTN,SIN,2.726147678107638,OPEN,stations.json + notebook corridor order
10,SIN_CLA,SIN,CLA,2.5115400523257976,OPEN,stations.json + notebook corridor order
11,CLA_VVH,CLA,VVH,2.4367639843721896,OPEN,stations.json + notebook corridor order
12,VVH_GC,VVH,GC,1.4132065763454242,OPEN,stations.json + notebook corridor order
13,GC_VK,GC,VK,3.5547276053598265,OPEN,stations.json + notebook corridor order
14,VK_BND,VK,BND,3.470410918950317,OPEN,stations.json + notebook corridor order
15,BND_NHU,BND,NHU,1.7202129703797417,OPEN,stations.json + notebook corridor order
16,NHU_MLND,NHU,MLND,2.2442372243919055,OPEN,stations.json + notebook corridor order
17,MLND_TNA,MLND,TNA,2.4472938349130833,OPEN,stations.json + notebook corridor order
18,TNA_KLVA,TNA,KLVA,2.600295463792782,OPEN,stations.json + notebook corridor order
19,KLVA_MBQ,KLVA,MBQ,2.7662356287588663,OPEN,stations.json + notebook corridor order
20,MBQ_DIVA,MBQ,DIVA,1.9685697337077415,OPEN,stations.json + notebook corridor order
21,DIVA_KOPR,DIVA,KOPR,4.555570225653277,OPEN,stations.json + notebook corridor order
22,KOPR_DI,KOPR,DI,1.220182846316476,OPEN,stations.json + notebook corridor order
23,DI_THK,DI,THK,1.4090482190996862,OPEN,stations.json + notebook corridor order
24,THK_KYN,THK,KYN,3.5101735296326337,OPEN,stations.json + notebook corridor order
25,KYN_VLDI,KYN,VLDI,2.117105084953203,OPEN,stations.json + notebook corridor order
26,VLDI_ULNR,VLDI,ULNR,1.9472886065857007,OPEN,stations.json + notebook corridor order
27,ULNR_ABH,ULNR,ABH,2.3991518728163377,OPEN,stations.json + notebook corridor order
28,ABH_BUD,ABH,BUD,7.51269482767948,OPEN,stations.json + notebook corridor order
29,BUD_VGI,BUD,VGI,10.323110504509138,OPEN,stations.json + notebook corridor order
30,VGI_SHLU,VGI,SHLU,3.8860161623773353,OPEN,stations.json + notebook corridor order
31,SHLU_NRL,SHLU,NRL,3.992192132942503,OPEN,stations.json + notebook corridor order
32,NRL_BVS,NRL,BVS,6.411121286581191,OPEN,stations.json + notebook corridor order
33,BVS_KJT,BVS,KJT,6.709617929744008,OPEN,stations.json + notebook corridor order
34,KJT_PDI,KJT,PDI,3.009860826095891,OPEN,stations.json + notebook corridor order
35,PDI_KAD,PDI,KAD,15.545194558782278,OPEN,stations.json + notebook corridor order
36,KAD_LNL,KAD,LNL,3.252571540982933,OPEN,stations.json + notebook corridor order
37,LNL_MVL,LNL,MVL,7.705313566377129,OPEN,stations.json + notebook corridor order
38,MVL_KMST,MVL,KMST,7.975712073094135,OPEN,stations.json + notebook corridor order
39,KMST_KNHE,KMST,KNHE,4.416121967878886,OPEN,stations.json + notebook corridor order
40,KNHE_VDN,KNHE,VDN,5.007753555122395,OPEN,stations.json + notebook corridor order
41,VDN_TGN,VDN,TGN,3.8030377921920286,OPEN,stations.json + notebook corridor order
42,TGN_GRWD,TGN,GRWD,3.069520330926253,OPEN,stations.json + notebook corridor order
43,GRWD_BGWI,GRWD,BGWI,2.5615846959286994,OPEN,stations.json + notebook corridor order
44,BGWI_DEHR,BGWI,DEHR,3.512121808109565,OPEN,stations.json + notebook corridor order
45,DEHR_AKRD,DEHR,AKRD,4.769030556601192,OPEN,stations.json + notebook corridor order
46,AKRD_CCH,AKRD,CCH,3.038386092422126,OPEN,stations.json + notebook corridor order
47,CCH_PMP,CCH,PMP,2.093628857711559,OPEN,stations.json + notebook corridor order
48,PMP_KSWD,PMP,KSWD,2.6130296601852145,OPEN,stations.json + notebook corridor order
49,KSWD_DAPD,KSWD,DAPD,3.313561264617434,OPEN,stations.json + notebook corridor order
50,DAPD_KK,DAPD,KK,2.061853305011839,OPEN,stations.json + notebook corridor order
51,KK_SVJR,KK,SVJR,3.65352461668459,OPEN,stations.json + notebook corridor order
52,SVJR_PUNE,SVJR,PUNE,2.3278661783862185,OPEN,stations.json + notebook corridor order
