train_id,train_number,train_name,train_type,from_station_code,to_station_code
1,06501,Yesvantpur - Ahmedabad Garib Rath Special,GR,YPR,ADI
2,06502,Ahmedabad -Yesvantpur Garib Rath Special,GR,ADI,YPR
3,09221,Porbandar Secunderabad Weekly Special,Exp,PBR,SC
4,09222,Secunderabad-Porbandar Weekly Special,Exp,SC,PBR
5,09405,Ahmedabad Yesvantpur (Weekly) Special,Exp,ADI,YPR
6,09406,Yeshwantpur-Ahmedabad Special,Exp,YPR,ADI
7,11007,Deccan Express,Exp,CSTM,PUNE
8,11008,Deccan Express,Exp,PUNE,CSTM
9,11009,Sinhagad Express,Exp,CSTM,PUNE
10,11010,Sinhagad Express,Exp,PUNE,CSTM
11,11011,Mahalaxmi Express,Exp,CSTM,KOP
12,11012,Mahalaxmi Express,Exp,KOP,CSTM
13,11013,Mumbai LTT-Coimbatore Express,Exp,LTT,CBE
14,11014,Coimbatore Mumbai LTT Express,Exp,CBE,LTT
15,11017,Chalukya Express,Exp,DR,YPR
16,11018,Chalukya Express,Exp,YPR,DR
17,11019,Konark Express,Exp,CSTM,BBS
18,11020,Konark Express,Exp,BBS,CSTM
19,11023,Sahyadri Express,Exp,CSTM,KOP
20,11024,Sahyadri Express,Exp,KOP,CSTM
21,11025,Manmad Pune Express(Via Nasik),Exp,MMR,PUNE
22,11026,Pune Manmad Express,Exp,PUNE,MMR
23,11027,Mumbai CST-Chennai Mail,Mail,CSTM,MAS
24,11028,Chennai-Mumbai CST Mail,Mail,MAS,CSTM
25,11029,Koyna Express,Exp,CSTM,KOP
26,11030,Koyna Express,Exp,KOP,CSTM
27,11035,Dadar-Mysore Sharavati Express,Exp,DR,MYS
28,11036,Mysore-Dadar Sharavati Express,Exp,MYS,DR
29,11041,Mumbai - Chennai Express,Exp,CSTM,MAS
30,11042,ChennaiCentral-CST Mumbai Express,Exp,MAS,CSTM
31,11043,MUMBAI LTT - MADURAI Exp,Exp,LTT,MDU
32,11044,MADURAI - MUMBAI LTT Exp,Exp,MDU,LTT
33,11049,Ahmedabad-Kolhapur Express,Exp,ADI,KOP
34,11050,Kolhapur-Ahmedabad Express,Exp,KOP,ADI
35,11087,Veraval Pune Express,Exp,VRL,PUNE
36,11088,Pune Veraval Express,Exp,PUNE,VRL
37,11089,BHAGAT KI KOTHI - PUNE Exp,Exp,BGKT,PUNE
38,11090,PUNE - BHAGAT KI KOTHI Exp,Exp,PUNE,BGKT
39,11091,BHUJ - PUNE Ahimsa Exp,Exp,BHUJ,PUNE
40,11092,PUNE - BHUJ Ahimsa Exp,Exp,PUNE,BHUJ
41,11095,Ahimsa Express,Exp,ADI,PUNE
42,11096,Ahimsa Express,Exp,PUNE,ADI
43,12115,Siddheshwar Express,SF,CSTM,SUR
44,12116,Siddheshwar Express,SF,SUR,CSTM
45,12123,Deccan Queen SF Express,SF,CSTM,PUNE
46,12124,Deccan Queen SF Express,SF,PUNE,CSTM
47,12125,Pragati Superfast Express,SF,CSTM,PUNE
48,12126,Pragati Superfast Express,SF,PUNE,CSTM
49,12127,MumbaiCST-Pune SF InterCity,SF,CSTM,PUNE
50,12128,Pune-MumbaiCST Intercity Express,SF,PUNE,CSTM
51,12163,DADAR - CHENNAI EGMORE SF Exp,,DR,MS
52,12164,DADAR - CHENNAI EGMORE SF Exp,,MS,DR
53,12219,Lokmanya Tilak (T)-Secunderabad AC Duronto Express,Drnt,LTT,SC
54,12220,Secunderabad-Mumbai LTT AC Duronto Express,Drnt,SC,LTT
55,12263,Pune - Hazrat Nizamuddin AC Duronto Express,Drnt,PUNE,NZM
56,12264,Hazrat Nizamuddin-Pune AC Duronto Express,Drnt,NZM,PUNE
57,12525,Indrayani SF Express,SF,CSTM,PUNE
58,12526,Indrayani SF Express,SF,PUNE,CSTM
59,12527,Mumbai CST-Latur Superfast Express.,SF,CSTM,LUR
60,12528,Latur-Mumbai CST Superfast Express,SF,LUR,CSTM
61,12701,Hussain Sagar Express,SF,CSTM,HYB
62,12702,Hussain Sagar Express,SF,HYB,CSTM
63,12750,Mumbai LTT-Visakhapatnam SF Express,SF,LTT,VSKP
64,12939,Pune-Jaipur SF Express,SF,PUNE,JP
65,12940,Jaipur-Pune SF Express,SF,JP,PUNE
66,16209,Ajmer-Mysore Express,Exp,AII,MYS
67,16210,Mysore-Ajmer Express,Exp,MYS,AII
68,16331,MUMBAI CST - TRIVANDRUM Exp,Exp,CSTM,TVC
69,16332,TRIVANDRUM - MUMBAI CST Exp,Exp,TVC,CSTM
70,16339,MUMBAI CST - NAGERCOIL Exp,Exp,CSTM,NCJ
71,16340,NAGERCOIL - MUMBAI CST Exp,Exp,NCJ,CSTM
72,16351,MUMBAI CST - NAGERCOIL Balaji Exp,Exp,CSTM,NCJ
73,16352,NAGERCOIL - MUMBAI CST Balaji Exp,Exp,NCJ,CSTM
74,16381,Mumbai CST - Kanyakumari Express,Exp,CSTM,CAPE
75,16382,Kanniyakumari-Mumbai CST Express,Exp,CAPE,CSTM
76,16505,GANDHIDHAM - BANGALORE Exp,Exp,GIMB,SBC
77,16506,BANGALORE - GANDHIDHAM Exp,Exp,SBC,GIMB
78,16507,BHAGAT KI KOTHI - BANGALORE Exp,Exp,BGKT,SBC
79,16508,BANGALORE - BHAGAT KI KOTHI Exp,Exp,SBC,JU
