movement_id,train_number,day,from_station,to_station,entry_time,exit_time,train_id,section_id
1,06501,2.0,KOPR,DI,08:04:00,07:57:00,1,22
2,06501,2.0,DI,THK,07:57:00,07:55:00,1,23
3,06501,2.0,THK,KYN,07:55:00,07:47:00,1,24
4,06501,2.0,KYN,VLDI,07:50:00,07:45:00,1,25
5,06501,2.0,VLDI,ULNR,07:45:00,07:43:00,1,26
6,06501,2.0,ULNR,ABH,07:43:00,07:40:00,1,27
7,06501,2.0,ABH,BUD,07:40:00,07:30:00,1,28
8,06501,2.0,BUD,VGI,07:30:00,07:16:00,1,29
9,06501,2.0,VGI,SHLU,07:16:00,07:11:00,1,30
10,06501,2.0,SHLU,NRL,07:11:00,07:05:00,1,31
11,06501,2.0,NRL,BVS,07:05:00,06:57:00,1,32
12,06501,2.0,BVS,KJT,06:57:00,06:48:00,1,33
13,06501,2.0,KJT,PDI,06:48:00,06:44:00,1,34
14,06501,2.0,PDI,KAD,06:44:00,06:17:00,1,35
15,06501,2.0,KAD,LNL,06:17:00,06:09:00,1,36
16,06501,2.0,LNL,MVL,06:12:00,06:03:00,1,37
17,06501,2.0,MVL,KMST,06:03:00,05:56:00,1,38
18,06501,2.0,KMST,KNHE,05:56:00,05:52:00,1,39
19,06501,2.0,KNHE,VDN,05:52:00,05:47:00,1,40
20,06501,2.0,VDN,TGN,05:47:00,05:44:00,1,41
21,06501,2.0,TGN,GRWD,05:44:00,05:41:00,1,42
22,06501,2.0,DEHR,AKRD,05:36:00,05:32:00,1,45
23,06501,2.0,AKRD,CCH,05:32:00,05:29:00,1,46
24,06501,2.0,CCH,PMP,05:29:00,05:27:00,1,47
25,06501,2.0,PMP,KSWD,05:27:00,05:25:00,1,48
26,06501,2.0,KSWD,DAPD,05:25:00,05:22:00,1,49
27,06501,2.0,DAPD,KK,05:22:00,05:20:00,1,50
28,06501,2.0,KK,SVJR,05:20:00,05:17:00,1,51
29,06501,2.0,SVJR,PUNE,05:17:00,04:55:00,1,52
30,06502,2.0,KOPR,DI,04:31:00,04:35:00,2,22
31,06502,2.0,DI,THK,04:35:00,04:36:00,2,23
32,06502,2.0,THK,KYN,04:36:00,04:45:00,2,24
33,06502,2.0,KYN,VLDI,04:50:00,04:52:00,2,25
34,06502,2.0,VLDI,ULNR,04:52:00,04:54:00,2,26
35,06502,2.0,ULNR,ABH,04:54:00,04:57:00,2,27
36,06502,2.0,ABH,BUD,04:57:00,05:05:00,2,28
37,06502,2.0,BUD,VGI,05:05:00,05:16:00,2,29
38,06502,2.0,VGI,SHLU,05:16:00,05:20:00,2,30
39,06502,2.0,SHLU,NRL,05:20:00,05:24:00,2,31
40,06502,2.0,NRL,BVS,05:24:00,05:31:00,2,32
41,06502,2.0,BVS,KJT,05:31:00,05:39:00,2,33
42,06502,2.0,KJT,PDI,05:39:00,05:42:00,2,34
43,06502,2.0,PDI,KAD,05:42:00,06:03:00,2,35
44,06502,2.0,KAD,LNL,06:03:00,06:07:00,2,36
45,06502,2.0,LNL,MVL,06:10:00,06:18:00,2,37
46,06502,2.0,MVL,KMST,06:18:00,06:28:00,2,38
47,06502,2.0,KMST,KNHE,06:28:00,06:33:00,2,39
48,06502,2.0,KNHE,VDN,06:33:00,06:38:00,2,40
49,06502,2.0,VDN,TGN,06:38:00,06:43:00,2,41
50,06502,2.0,TGN,GRWD,06:43:00,06:46:00,2,42
51,06502,2.0,DEHR,AKRD,06:53:00,06:59:00,2,45
52,06502,2.0,AKRD,CCH,06:59:00,07:02:00,2,46
53,06502,2.0,CCH,PMP,07:02:00,07:05:00,2,47
54,06502,2.0,PMP,KSWD,07:05:00,07:07:00,2,48
55,06502,2.0,KSWD,DAPD,07:07:00,07:11:00,2,49
56,06502,2.0,DAPD,KK,07:11:00,07:14:00,2,50
57,06502,2.0,KK,SVJR,07:14:00,07:18:00,2,51
58,06502,2.0,SVJR,PUNE,07:18:00,07:20:00,2,52
59,09221,2.0,KOPR,DI,19:16:00,19:23:00,3,22
60,09221,2.0,DI,THK,19:23:00,19:25:00,3,23
61,09221,2.0,THK,KYN,19:25:00,19:40:00,3,24
62,09221,2.0,KYN,VLDI,19:50:00,19:53:00,3,25
63,09221,2.0,VLDI,ULNR,19:53:00,19:55:00,3,26
64,09221,2.0,ULNR,ABH,19:55:00,19:58:00,3,27
65,09221,2.0,ABH,BUD,19:58:00,20:07:00,3,28
66,09221,2.0,BUD,VGI,20:07:00,20:20:00,3,29
67,09221,2.0,VGI,SHLU,20:20:00,20:25:00,3,30
68,09221,2.0,SHLU,NRL,20:25:00,20:30:00,3,31
69,09221,2.0,NRL,BVS,20:30:00,20:37:00,3,32
70,09221,2.0,BVS,KJT,20:37:00,20:46:00,3,33
71,09221,2.0,KJT,PDI,20:46:00,20:49:00,3,34
72,09221,2.0,PDI,KAD,20:49:00,21:14:00,3,35
73,09221,2.0,KAD,LNL,21:14:00,21:18:00,3,36
74,09221,2.0,LNL,MVL,21:20:00,21:27:00,3,37
75,09221,2.0,MVL,KMST,21:27:00,21:36:00,3,38
76,09221,2.0,KMST,KNHE,21:36:00,21:41:00,3,39
77,09221,2.0,KNHE,VDN,21:41:00,21:46:00,3,40
78,09221,2.0,VDN,TGN,21:46:00,21:50:00,3,41
79,09221,2.0,TGN,GRWD,21:50:00,21:53:00,3,42
80,09221,2.0,DEHR,AKRD,22:00:00,22:05:00,3,45
81,09221,2.0,AKRD,CCH,22:05:00,22:08:00,3,46
82,09221,2.0,CCH,PMP,22:08:00,22:10:00,3,47
83,09221,2.0,PMP,KSWD,22:10:00,22:13:00,3,48
84,09221,2.0,KSWD,DAPD,22:13:00,22:16:00,3,49
85,09221,2.0,DAPD,KK,22:16:00,22:18:00,3,50
86,09221,2.0,KK,SVJR,22:18:00,22:22:00,3,51
87,09221,2.0,SVJR,PUNE,22:22:00,22:25:00,3,52
88,09222,2.0,KOPR,DI,05:08:00,04:59:00,4,22
89,09222,2.0,DI,THK,04:59:00,04:56:00,4,23
90,09222,2.0,THK,KYN,04:56:00,04:45:00,4,24
91,09222,2.0,KYN,VLDI,04:50:00,04:43:00,4,25
92,09222,2.0,VLDI,ULNR,04:43:00,04:40:00,4,26
93,09222,2.0,ULNR,ABH,04:40:00,04:37:00,4,27
94,09222,2.0,ABH,BUD,04:37:00,04:28:00,4,28
95,09222,2.0,BUD,VGI,04:28:00,04:15:00,4,29
96,09222,2.0,VGI,SHLU,04:15:00,04:10:00,4,30
97,09222,2.0,SHLU,NRL,04:10:00,04:05:00,4,31
98,09222,2.0,NRL,BVS,04:05:00,03:57:00,4,32
99,09222,2.0,BVS,KJT,03:57:00,03:48:00,4,33
100,09222,2.0,KJT,PDI,03:48:00,03:45:00,4,34
101,09222,2.0,PDI,KAD,03:45:00,03:20:00,4,35
102,09222,2.0,KAD,LNL,03:20:00,03:13:00,4,36
103,09222,2.0,LNL,MVL,03:15:00,03:05:00,4,37
104,09222,2.0,MVL,KMST,03:05:00,02:56:00,4,38
105,09222,2.0,KMST,KNHE,02:56:00,02:51:00,4,39
106,09222,2.0,KNHE,VDN,02:51:00,02:45:00,4,40
107,09222,2.0,VDN,TGN,02:45:00,02:41:00,4,41
108,09222,2.0,TGN,GRWD,02:41:00,02:38:00,4,42
109,09222,2.0,DEHR,AKRD,02:31:00,02:26:00,4,45
110,09222,2.0,AKRD,CCH,02:26:00,02:22:00,4,46
111,09222,2.0,CCH,PMP,02:22:00,02:20:00,4,47
112,09222,2.0,PMP,KSWD,02:20:00,02:18:00,4,48
113,09222,2.0,KSWD,DAPD,02:18:00,02:14:00,4,49
114,09222,2.0,DAPD,KK,02:14:00,02:11:00,4,50
115,09222,2.0,KK,SVJR,02:11:00,02:08:00,4,51
116,09222,2.0,SVJR,PUNE,02:08:00,02:00:00,4,52
117,09405,2.0,KOPR,DI,04:31:00,04:38:00,5,22
118,09405,2.0,DI,THK,04:38:00,04:40:00,5,23
119,09405,2.0,THK,KYN,04:40:00,04:45:00,5,24
120,09405,2.0,KYN,VLDI,04:50:00,04:53:00,5,25
121,09405,2.0,VLDI,ULNR,04:53:00,04:55:00,5,26
122,09405,2.0,ULNR,ABH,04:55:00,04:57:00,5,27
123,09405,2.0,ABH,BUD,04:57:00,05:06:00,5,28
124,09405,2.0,BUD,VGI,05:06:00,05:17:00,5,29
125,09405,2.0,VGI,SHLU,05:17:00,05:22:00,5,30
126,09405,2.0,SHLU,NRL,05:22:00,05:26:00,5,31
127,09405,2.0,NRL,BVS,05:26:00,05:33:00,5,32
128,09405,2.0,BVS,KJT,05:33:00,05:41:00,5,33
129,09405,2.0,KJT,PDI,05:41:00,05:44:00,5,34
130,09405,2.0,PDI,KAD,05:44:00,06:07:00,5,35
131,09405,2.0,KAD,LNL,06:07:00,06:11:00,5,36
132,09405,2.0,LNL,MVL,06:11:00,06:19:00,5,37
133,09405,2.0,MVL,KMST,06:19:00,06:28:00,5,38
134,09405,2.0,KMST,KNHE,06:28:00,06:33:00,5,39
135,09405,2.0,KNHE,VDN,06:33:00,06:39:00,5,40
136,09405,2.0,VDN,TGN,06:39:00,06:43:00,5,41
137,09405,2.0,TGN,GRWD,06:43:00,06:46:00,5,42
138,09405,2.0,DEHR,AKRD,06:53:00,06:59:00,5,45
139,09405,2.0,AKRD,CCH,06:59:00,07:02:00,5,46
140,09405,2.0,CCH,PMP,07:02:00,07:05:00,5,47
141,09405,2.0,PMP,KSWD,07:05:00,07:07:00,5,48
142,09405,2.0,KSWD,DAPD,07:07:00,07:11:00,5,49
143,09405,2.0,DAPD,KK,07:11:00,07:13:00,5,50
144,09405,2.0,KK,SVJR,07:13:00,07:17:00,5,51
145,09405,2.0,SVJR,PUNE,07:17:00,07:20:00,5,52
146,09406,2.0,KOPR,DI,06:54:00,06:52:00,6,22
147,09406,2.0,DI,THK,06:52:00,06:51:00,6,23
148,09406,2.0,THK,KYN,06:51:00,06:48:00,6,24
149,09406,2.0,KYN,VLDI,06:50:00,06:44:00,6,25
150,09406,2.0,VLDI,ULNR,06:44:00,06:42:00,6,26
151,09406,2.0,ULNR,ABH,06:42:00,06:39:00,6,27
152,09406,2.0,ABH,BUD,06:39:00,06:29:00,6,28
