train_number,station_code,sequence_number,arrival_time,departure_time,day
06501,KOPR,1.0,08:04:00,08:04:00,2.0
06501,DI,2.0,07:57:00,07:57:00,2.0
06501,THK,3.0,07:55:00,07:55:00,2.0
06501,KYN,4.0,07:47:00,07:50:00,2.0
06501,VLDI,5.0,07:45:00,07:45:00,2.0
06501,ULNR,6.0,07:43:00,07:43:00,2.0
06501,ABH,7.0,07:40:00,07:40:00,2.0
06501,BUD,8.0,07:30:00,07:30:00,2.0
06501,VGI,9.0,07:16:00,07:16:00,2.0
06501,SHLU,10.0,07:11:00,07:11:00,2.0
06501,NRL,11.0,07:05:00,07:05:00,2.0
06501,BVS,12.0,06:57:00,06:57:00,2.0
06501,KJT,13.0,06:48:00,06:48:00,2.0
06501,PDI,14.0,06:44:00,06:44:00,2.0
06501,KAD,15.0,06:17:00,06:17:00,2.0
06501,LNL,16.0,06:09:00,06:12:00,2.0
06501,MVL,17.0,06:03:00,06:03:00,2.0
06501,KMST,18.0,05:56:00,05:56:00,2.0
06501,KNHE,19.0,05:52:00,05:52:00,2.0
06501,VDN,20.0,05:47:00,05:47:00,2.0
06501,TGN,21.0,05:44:00,05:44:00,2.0
06501,GRWD,22.0,05:41:00,05:41:00,2.0
06501,DEHR,23.0,05:36:00,05:36:00,2.0
06501,AKRD,24.0,05:32:00,05:32:00,2.0
06501,CCH,25.0,05:29:00,05:29:00,2.0
06501,PMP,26.0,05:27:00,05:27:00,2.0
06501,KSWD,27.0,05:25:00,05:25:00,2.0
06501,DAPD,28.0,05:22:00,05:22:00,2.0
06501,KK,29.0,05:20:00,05:20:00,2.0
06501,SVJR,30.0,05:17:00,05:17:00,2.0
06501,PUNE,31.0,04:55:00,05:15:00,2.0
06502,KOPR,1.0,04:31:00,04:31:00,2.0
06502,DI,2.0,04:35:00,04:35:00,2.0
06502,THK,3.0,04:36:00,04:36:00,2.0
06502,KYN,4.0,04:45:00,04:50:00,2.0
06502,VLDI,5.0,04:52:00,04:52:00,2.0
06502,ULNR,6.0,04:54:00,04:54:00,2.0
06502,ABH,7.0,04:57:00,04:57:00,2.0
06502,BUD,8.0,05:05:00,05:05:00,2.0
06502,VGI,9.0,05:16:00,05:16:00,2.0
06502,SHLU,10.0,05:20:00,05:20:00,2.0
06502,NRL,11.0,05:24:00,05:24:00,2.0
06502,BVS,12.0,05:31:00,05:31:00,2.0
06502,KJT,13.0,05:39:00,05:39:00,2.0
06502,PDI,14.0,05:42:00,05:42:00,2.0
06502,KAD,15.0,06:03:00,06:03:00,2.0
06502,LNL,16.0,06:07:00,06:10:00,2.0
06502,MVL,17.0,06:18:00,06:18:00,2.0
06502,KMST,18.0,06:28:00,06:28:00,2.0
06502,KNHE,19.0,06:33:00,06:33:00,2.0
06502,VDN,20.0,06:38:00,06:38:00,2.0
06502,TGN,21.0,06:43:00,06:43:00,2.0
06502,GRWD,22.0,06:46:00,06:46:00,2.0
06502,DEHR,23.0,06:53:00,06:53:00,2.0
06502,AKRD,24.0,06:59:00,06:59:00,2.0
06502,CCH,25.0,07:02:00,07:02:00,2.0
06502,PMP,26.0,07:05:00,07:05:00,2.0
06502,KSWD,27.0,07:07:00,07:07:00,2.0
06502,DAPD,28.0,07:11:00,07:11:00,2.0
06502,KK,29.0,07:14:00,07:14:00,2.0
06502,SVJR,30.0,07:18:00,07:18:00,2.0
06502,PUNE,31.0,07:20:00,07:30:00,2.0
09221,KOPR,1.0,19:16:00,19:16:00,2.0
09221,DI,2.0,19:23:00,19:23:00,2.0
09221,THK,3.0,19:25:00,19:25:00,2.0
09221,KYN,4.0,19:40:00,19:50:00,2.0
09221,VLDI,5.0,19:53:00,19:53:00,2.0
09221,ULNR,6.0,19:55:00,19:55:00,2.0
09221,ABH,7.0,19:58:00,19:58:00,2.0
09221,BUD,8.0,20:07:00,20:07:00,2.0
09221,VGI,9.0,20:20:00,20:20:00,2.0
09221,SHLU,10.0,20:25:00,20:25:00,2.0
09221,NRL,11.0,20:30:00,20:30:00,2.0
09221,BVS,12.0,20:37:00,20:37:00,2.0
09221,KJT,13.0,20:46:00,20:46:00,2.0
09221,PDI,14.0,20:49:00,20:49:00,2.0
09221,KAD,15.0,21:14:00,21:14:00,2.0
09221,LNL,16.0,21:18:00,21:20:00,2.0
09221,MVL,17.0,21:27:00,21:27:00,2.0
09221,KMST,18.0,21:36:00,21:36:00,2.0
09221,KNHE,19.0,21:41:00,21:41:00,2.0
09221,VDN,20.0,21:46:00,21:46:00,2.0
09221,TGN,21.0,21:50:00,21:50:00,2.0
