section_id,section_code,from_station,to_station,length_km,section_status,source,length_basis,topology_source
1,CSMT_MSD,CSMT,MSD,0.896,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
2,MSD_SNRD,MSD,SNRD,1.111,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
3,SNRD_BY,SNRD,BY,1.766,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
4,BY_CHG,BY,CHG,1.096,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
5,CHG_CRD,CHG,CRD,0.768,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
6,CRD_PR,CRD,PR,1.781,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
7,PR_DR,PR,DR,1.072,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
8,DR_MTN,DR,MTN,1.342,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
9,MTN_SIN,MTN,SIN,2.726,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
10,SIN_CLA,SIN,CLA,2.512,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
11,CLA_VVH,CLA,VVH,2.437,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
12,VVH_GC,VVH,GC,1.413,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
13,GC_VK,GC,VK,3.555,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
14,VK_BND,VK,BND,3.47,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
15,BND_NHU,BND,NHU,1.72,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
16,NHU_MLND,NHU,MLND,2.244,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
17,MLND_TNA,MLND,TNA,2.447,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
18,TNA_KLVA,TNA,KLVA,2.6,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
19,KLVA_MBQ,KLVA,MBQ,2.766,OPEN,validated station topology + verified station master,STATION_COORDINATE_GEODESIC,stations.json + validated contiguous corridor order
