train_number,train_type,from_station,to_station,from_time,to_time,day,block_section_km,from_dt,to_dt,occupancy_duration_mins
1101,Exp,VVH,GC,15:51:00,15:53:00,1.0,1.4132065763454242,1900-01-01 15:51:00,1900-01-01 15:53:00,2.0
1101,Exp,GC,VK,15:53:00,15:57:00,1.0,3.5547276053598265,1900-01-01 15:53:00,1900-01-01 15:57:00,4.0
1101,Exp,VK,KJMG,15:57:00,15:59:00,1.0,1.8039176035731728,1900-01-01 15:57:00,1900-01-01 15:59:00,2.0
1101,Exp,KJMG,BND,15:59:00,16:01:00,1.0,1.8158794735791883,1900-01-01 15:59:00,1900-01-01 16:01:00,2.0
1101,Exp,BND,NHU,16:01:00,16:02:00,1.0,1.7202129703797415,1900-01-01 16:01:00,1900-01-01 16:02:00,1.0
1101,Exp,NHU,MLND,16:02:00,16:05:00,1.0,2.244237224391905,1900-01-01 16:02:00,1900-01-01 16:05:00,3.0
1101,Exp,MLND,TNA,16:05:00,16:08:00,1.0,2.447293834913083,1900-01-01 16:05:00,1900-01-01 16:08:00,3.0
1101,Exp,TNA,KLVA,16:08:00,16:10:00,1.0,2.600295463792782,1900-01-01 16:08:00,1900-01-01 16:10:00,2.0
1101,Exp,KLVA,MBQ,16:10:00,16:15:00,1.0,2.7662356287588663,1900-01-01 16:10:00,1900-01-01 16:15:00,5.0
1101,Exp,MBQ,DIVA,16:15:00,16:18:00,1.0,1.9685697337077408,1900-01-01 16:15:00,1900-01-01 16:18:00,3.0
1101,Exp,DIVA,KOPR,16:18:00,16:22:00,1.0,4.555570225653277,1900-01-01 16:18:00,1900-01-01 16:22:00,4.0
1101,Exp,KOPR,DI,16:22:00,16:24:00,1.0,1.220182846316476,1900-01-01 16:22:00,1900-01-01 16:24:00,2.0
1101,Exp,DI,THK,16:24:00,16:25:00,1.0,1.4090482190996862,1900-01-01 16:24:00,1900-01-01 16:25:00,1.0
1101,Exp,THK,KYN,16:25:00,16:30:00,1.0,3.510173529632634,1900-01-01 16:25:00,1900-01-01 16:30:00,5.0
1101,Exp,KYN,SHAD,16:35:00,16:39:00,1.0,3.227998859493045,1900-01-01 16:35:00,1900-01-01 16:39:00,4.0
1101,Exp,SHAD,ABY,16:39:00,16:43:00,1.0,2.8924472381659814,1900-01-01 16:39:00,1900-01-01 16:43:00,4.0
1101,Exp,ABY,TLA,16:43:00,16:49:00,1.0,4.5747249956740985,1900-01-01 16:43:00,1900-01-01 16:49:00,6.0
1101,Exp,TLA,KDV,16:49:00,16:59:00,1.0,6.848859240216618,1900-01-01 16:49:00,1900-01-01 16:59:00,10.0
1101,Exp,KDV,VSD,16:59:00,17:09:00,1.0,7.586612444322933,1900-01-01 16:59:00,1900-01-01 17:09:00,10.0
1101,Exp,VSD,ASO,17:09:00,17:16:00,1.0,5.576077807583285,1900-01-01 17:09:00,1900-01-01 17:16:00,7.0
1101,Exp,ASO,ATG,17:16:00,17:21:00,1.0,7.403651733762078,1900-01-01 17:16:00,1900-01-01 17:21:00,5.0
1101,Exp,ATG,KE,17:21:00,17:44:00,1.0,10.970160783607048,1900-01-01 17:21:00,1900-01-01 17:44:00,23.0
1101,Exp,KE,KSRA,17:44:00,18:01:00,1.0,11.115703163689956,1900-01-01 17:44:00,1900-01-01 18:01:00,17.0
1102,Exp,KSRA,KE,09:41:00,09:55:00,2.0,11.115703163689956,1900-01-01 09:41:00,1900-01-01 09:55:00,14.0
1102,Exp,KE,ATG,09:55:00,10:15:00,2.0,10.970160783607048,1900-01-01 09:55:00,1900-01-01 10:15:00,20.0
1102,Exp,ATG,ASO,10:15:00,10:19:00,2.0,7.403651733762078,1900-01-01 10:15:00,1900-01-01 10:19:00,4.0
1102,Exp,ASO,VSD,10:19:00,10:25:00,2.0,5.576077807583285,1900-01-01 10:19:00,1900-01-01 10:25:00,6.0
1102,Exp,VSD,KDV,10:25:00,10:33:00,2.0,7.586612444322933,1900-01-01 10:25:00,1900-01-01 10:33:00,8.0
1102,Exp,KDV,TLA,10:33:00,10:42:00,2.0,6.848859240216618,1900-01-01 10:33:00,1900-01-01 10:42:00,9.0
1102,Exp,TLA,ABY,10:42:00,10:47:00,2.0,4.5747249956740985,1900-01-01 10:42:00,1900-01-01 10:47:00,5.0
1102,Exp,ABY,SHAD,10:47:00,10:50:00,2.0,2.8924472381659814,1900-01-01 10:47:00,1900-01-01 10:50:00,3.0
1102,Exp,SHAD,KYN,10:50:00,10:55:00,2.0,3.227998859493045,1900-01-01 10:50:00,1900-01-01 10:55:00,5.0
1102,Exp,KYN,THK,11:00:00,11:06:00,2.0,3.510173529632634,1900-01-01 11:00:00,1900-01-01 11:06:00,6.0
1102,Exp,THK,DI,11:06:00,11:09:00,2.0,1.4090482190996862,1900-01-01 11:06:00,1900-01-01 11:09:00,3.0
1102,Exp,DI,KOPR,11:09:00,11:11:00,2.0,1.220182846316476,1900-01-01 11:09:00,1900-01-01 11:11:00,2.0
1102,Exp,KOPR,DIVA,11:11:00,11:18:00,2.0,4.555570225653277,1900-01-01 11:11:00,1900-01-01 11:18:00,7.0
1102,Exp,DIVA,MBQ,11:18:00,11:23:00,2.0,1.9685697337077408,1900-01-01 11:18:00,1900-01-01 11:23:00,5.0
1102,Exp,MBQ,KLVA,11:23:00,11:30:00,2.0,2.7662356287588663,1900-01-01 11:23:00,1900-01-01 11:30:00,7.0
