train_number,station_code,sequence_number,arrival_time,departure_time,day,record_quality,seq_source
6501,PUNE,1,04:55:00,05:15:00,2,DIRECTION_NORMALIZED,31.0
6501,SVJR,2,05:17:00,05:17:00,2,DIRECTION_NORMALIZED,30.0
6501,KK,3,05:20:00,05:20:00,2,DIRECTION_NORMALIZED,29.0
6501,DAPD,4,05:22:00,05:22:00,2,DIRECTION_NORMALIZED,28.0
6501,KSWD,5,05:25:00,05:25:00,2,DIRECTION_NORMALIZED,27.0
6501,PMP,6,05:27:00,05:27:00,2,DIRECTION_NORMALIZED,26.0
6501,CCH,7,05:29:00,05:29:00,2,DIRECTION_NORMALIZED,25.0
6501,AKRD,8,05:32:00,05:32:00,2,DIRECTION_NORMALIZED,24.0
6501,DEHR,9,05:36:00,05:36:00,2,DIRECTION_NORMALIZED,23.0
6501,GRWD,10,05:41:00,05:41:00,2,DIRECTION_NORMALIZED,22.0
6501,TGN,11,05:44:00,05:44:00,2,DIRECTION_NORMALIZED,21.0
6501,VDN,12,05:47:00,05:47:00,2,DIRECTION_NORMALIZED,20.0
6501,KNHE,13,05:52:00,05:52:00,2,DIRECTION_NORMALIZED,19.0
6501,KMST,14,05:56:00,05:56:00,2,DIRECTION_NORMALIZED,18.0
6501,MVL,15,06:03:00,06:03:00,2,DIRECTION_NORMALIZED,17.0
6501,LNL,16,06:09:00,06:12:00,2,DIRECTION_NORMALIZED,16.0
6501,KAD,17,06:17:00,06:17:00,2,DIRECTION_NORMALIZED,15.0
6501,PDI,18,06:44:00,06:44:00,2,DIRECTION_NORMALIZED,14.0
6501,KJT,19,06:48:00,06:48:00,2,DIRECTION_NORMALIZED,13.0
6501,BVS,20,06:57:00,06:57:00,2,DIRECTION_NORMALIZED,12.0
6501,NRL,21,07:05:00,07:05:00,2,DIRECTION_NORMALIZED,11.0
6501,SHLU,22,07:11:00,07:11:00,2,DIRECTION_NORMALIZED,10.0
6501,VGI,23,07:16:00,07:16:00,2,DIRECTION_NORMALIZED,9.0
6501,BUD,24,07:30:00,07:30:00,2,DIRECTION_NORMALIZED,8.0
6501,ABH,25,07:40:00,07:40:00,2,DIRECTION_NORMALIZED,7.0
6501,ULNR,26,07:43:00,07:43:00,2,DIRECTION_NORMALIZED,6.0
6501,VLDI,27,07:45:00,07:45:00,2,DIRECTION_NORMALIZED,5.0
6501,KYN,28,07:47:00,07:50:00,2,DIRECTION_NORMALIZED,4.0
6501,THK,29,07:55:00,07:55:00,2,DIRECTION_NORMALIZED,3.0
6501,DI,30,07:57:00,07:57:00,2,DIRECTION_NORMALIZED,2.0
6501,KOPR,31,08:04:00,08:04:00,2,DIRECTION_NORMALIZED,1.0
6502,KOPR,1,04:31:00,04:31:00,2,SOURCE,1.0
6502,DI,2,04:35:00,04:35:00,2,SOURCE,2.0
6502,THK,3,04:36:00,04:36:00,2,SOURCE,3.0
6502,KYN,4,04:45:00,04:50:00,2,SOURCE,4.0
6502,VLDI,5,04:52:00,04:52:00,2,SOURCE,5.0
6502,ULNR,6,04:54:00,04:54:00,2,SOURCE,6.0
6502,ABH,7,04:57:00,04:57:00,2,SOURCE,7.0
6502,BUD,8,05:05:00,05:05:00,2,SOURCE,8.0
6502,VGI,9,05:16:00,05:16:00,2,SOURCE,9.0
6502,SHLU,10,05:20:00,05:20:00,2,SOURCE,10.0
